starts fetching pub dev stats...
Fetching data for 10/250 packages ...
Fetching data for 20/250 packages ...
Fetching data for 30/250 packages ...
Fetching data for 40/250 packages ...
Fetching data for 50/250 packages ...
Fetching data for 60/250 packages ...
Fetching data for 70/250 packages ...
Fetching data for 80/250 packages ...
Fetching data for 90/250 packages ...
Fetching data for 100/250 packages ...
Fetching data for 110/250 packages ...
Fetching data for 120/250 packages ...
Fetching data for 130/250 packages ...
Fetching data for 140/250 packages ...
Fetching data for 150/250 packages ...
Fetching data for 160/250 packages ...
Fetching data for 170/250 packages ...
Fetching data for 180/250 packages ...
Fetching data for 190/250 packages ...
Fetching data for 200/250 packages ...
Fetching data for 210/250 packages ...
Fetching data for 220/250 packages ...
Fetching data for 230/250 packages ...
Fetching data for 240/250 packages ...
Fetching data for 250/250 packages ...
┌─────────┬──────────────────────────────────┬───────┬────────┬────────────┬────────────┬──────────────┬───────────────────────────────────┬────────────────────────┐
│ (index) │               name               │ likes │ health │ popularity │ isNullSafe │ isFlutterFav │              version              │       developer        │
│   105   │  'material_floating_search_bar'  │  492  │  130   │     95     │    true    │    false     │              '0.3.4'              │       undefined        │
│   106   │           'getwidget'            │  493  │  100   │     95     │   false    │    false     │     '1.2.42.0.1-nullsafety.4'     │    'getwidget.dev'     │
│   107   │     'youtube_player_flutter'     │  482  │  120   │     98     │    true    │    false     │              '8.0.0'              │ 'sarbagyastha.com.np'  │
│   108   │        'flutter_blurhash'        │  474  │  130   │     99     │    true    │    false     │              '0.6.0'              │ 'fluttercommunity.dev' │
│   109   │         'rflutter_alert'         │  473  │  120   │     98     │    true    │    false     │              '2.0.2'              │     'ratel.com.tr'     │
│   110   │   'scrollable_positioned_list'   │  463  │  110   │     98     │   false    │    false     │    '0.1.100.2.0-nullsafety.0'     │      'google.dev'      │
│   111   │         'flutter_icons'          │  463  │   85   │     98     │   false    │    false     │              '1.1.0'              │       undefined        │
│   112   │      'assets_audio_player'       │  462  │  110   │     97     │    true    │    false     │             '3.0.3+2'             │       undefined        │
│   113   │     'flutter_cache_manager'      │  441  │  110   │     99     │    true    │    false     │              '3.0.1'              │     'baseflow.com'     │
│   114   │         'audio_service'          │  440  │  130   │     95     │    true    │    false     │             '0.17.0'              │    'ryanheise.com'     │
│   115   │         'google_nav_bar'         │  440  │  120   │     95     │    true    │    false     │              '5.0.4'              │    'sooxt98.space'     │
│   116   │       'firebase_analytics'       │  438  │  120   │     99     │    true    │    false     │              '8.0.1'              │ 'firebase.google.com'  │
│   117   │     'sleek_circular_slider'      │  437  │  110   │     95     │    true    │    false     │              '2.0.0'              │       undefined        │
│   118   │         'flutter_login'          │  434  │  110   │     95     │   false    │    false     │     '1.1.02.0.0-nullsafety.0'     │       undefined        │
│   119   │        'page_transition'         │  432  │  110   │     98     │   false    │    false     │    '1.1.7+62.0.1-nullsafety.0'    │    'yasinilhan.com'    │
│   120   │      'flutter_easyloading'       │  430  │  130   │     97     │    true    │    false     │              '3.0.0'              │       undefined        │
│   121   │            'wakelock'            │  428  │  130   │     99     │    true    │    false     │              '0.5.1'              │ 'creativemaybeno.dev'  │
│   122   │           'bot_toast'            │  428  │  120   │     97     │    true    │    false     │              '4.0.1'              │       undefined        │
│   123   │         'flare_flutter'          │  427  │   90   │     99     │    true    │    false     │              '3.0.0'              │       'rive.app'       │
│   124   │       'google_mobile_ads'        │  425  │  110   │     97     │    true    │    false     │            '0.12.1+1'             │      'google.dev'      │
│   125   │        'bottom_navy_bar'         │  426  │  120   │     96     │    true    │     true     │              '6.0.0'              │  'pedromassango.dev'   │
│   126   │             'chewie'             │  423  │  120   │     99     │    true    │    false     │              '1.0.0'              │       undefined        │
│   127   │            'pedantic'            │  421  │  130   │    100     │    true    │    false     │             '1.11.0'              │      'google.dev'      │
│   128   │         'sliding_sheet'          │  419  │  120   │     94     │    true    │    false     │              '0.5.0'              │       undefined        │
│   129   │       'multi_image_picker'       │  418  │  120   │     98     │    true    │    false     │              '4.8.0'              │       undefined        │
│   130   │              'path'              │  411  │  130   │    100     │    true    │    false     │              '1.8.0'              │       'dart.dev'       │
│   131   │           'uni_links'            │  412  │  100   │     98     │   false    │    false     │              '0.4.0'              │       undefined        │
│   132   │         'awesome_dialog'         │  409  │  100   │     97     │   false    │    false     │     '1.3.22.0.0-nullsafety.1'     │       undefined        │
│   133   │        'qr_code_scanner'         │  411  │  120   │     98     │    true    │    false     │              '0.4.0'              │       undefined        │
│   134   │             'image'              │  410  │  120   │    100     │    true    │    false     │              '3.0.2'              │       undefined        │
│   135   │         'in_app_review'          │  406  │  120   │     96     │    true    │    false     │              '2.0.2'              │    'britannio.dev'     │
│   136   │          'showcaseview'          │  405  │  120   │     95     │    true    │    false     │              '1.0.0'              │     'simform.com'      │
│   137   │             'flame'              │  404  │   80   │     95     │   false    │    false     │         '0.29.41.0.0-rc9'         │   'flame-engine.org'   │
│   138   │            'sembast'             │  398  │  130   │     97     │    true    │    false     │              '3.0.2'              │     'tekartik.com'     │
│   139   │             'fluro'              │  397  │  130   │     97     │    true    │    false     │              '2.0.3'              │   'lukepighetti.com'   │
│   140   │     'flutter_webview_plugin'     │  397  │   85   │     98     │   false    │    false     │             '0.3.11'              │ 'fluttercommunity.dev' │
│   141   │       'flutter_downloader'       │  393  │  110   │     97     │    true    │    false     │              '1.6.0'              │ 'fluttercommunity.dev' │
│   142   │         'auto_animated'          │  390  │  130   │     93     │    true    │    false     │              '3.0.0'              │    'serge.software'    │
│   143   │        'background_fetch'        │  387  │  100   │     96     │   false    │    false     │     '0.7.21.0.0-nullsafety.2'     │  'transistorsoft.com'  │
│   144   │    'flutter_platform_widgets'    │  386  │  110   │     96     │    true    │    false     │              '1.3.0'              │     'stryder.dev'      │
