
A total of 24/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
│   108   │          'intro_slider'          │  545  │  120   │     97     │   true   │  false   │              '2.4.3'              │       undefined        │
│   109   │       'google_mobile_ads'        │  544  │  120   │     98     │   true   │  false   │             '0.13.0'              │      'google.dev'      │
│   110   │     'youtube_player_flutter'     │  525  │  120   │     98     │   true   │  false   │              '8.0.0'              │ 'sarbagyastha.com.np'  │
│   111   │         'rflutter_alert'         │  508  │  120   │     98     │   true   │  false   │              '2.0.2'              │     'ratel.com.tr'     │
│   112   │   'infinite_scroll_pagination'   │  506  │  130   │     96     │   true   │   true   │             '3.0.1+1'             │    'edsonbueno.com'    │
│   113   │      'assets_audio_player'       │  504  │  110   │     97     │   true   │  false   │             '3.0.3+3'             │       undefined        │
│   114   │   'scrollable_positioned_list'   │  503  │  110   │     98     │  false   │  false   │    '0.1.100.2.0-nullsafety.0'     │      'google.dev'      │
│   115   │        'bottom_navy_bar'         │  497  │  120   │     96     │   true   │   true   │              '6.0.0'              │  'pedromassango.dev'   │
│   116   │      'flutter_easyloading'       │  497  │  120   │     97     │   true   │  false   │              '3.0.0'              │       undefined        │
│   117   │         'flutter_icons'          │  496  │   85   │     98     │  false   │  false   │              '1.1.0'              │       undefined        │
│   118   │            'pedantic'            │  492  │  130   │    100     │   true   │  false   │             '1.11.0'              │      'google.dev'      │
│   119   │            'wakelock'            │  485  │  130   │     99     │   true   │  false   │              '0.5.2'              │ 'creativemaybeno.dev'  │
│   120   │     'sleek_circular_slider'      │  481  │  110   │     95     │   true   │  false   │              '2.0.0'              │       undefined        │
│   121   │     'flutter_cache_manager'      │  480  │  120   │    100     │   true   │  false   │              '3.1.1'              │     'baseflow.com'     │
│   122   │        'qr_code_scanner'         │  481  │  120   │     98     │   true   │  false   │              '0.5.1'              │       undefined        │
